id,category,value,text_data
689,B,1836,x
690,D,1105,x
691,C,1095,x
692,C,1954,x
693,C,1850,x
694,B,1529,x
695,D,1431,x
696,A,262,x
697,A,104,x
698,A,380,x
699,B,199,x
700,D,1029,x
701,C,1900,x
702,B,1760,x
703,A,831,x
704,B,766,x
705,A,1455,x
706,C,1918,x
707,B,487,x
708,B,1261,x
709,A,1932,x
710,B,770,x
711,B,1250,x
712,D,1089,x
713,B,1194,x
714,C,1182,x
715,C,1878,x
716,A,1010,x
717,B,79,x
718,D,1833,x
719,A,859,x
720,C,1339,x
721,A,36,x
722,A,961,x
723,C,659,x
724,D,132,x
725,D,1457,x
726,D,574,x
727,A,478,x
728,C,1069,x
729,C,643,x
730,C,484,x
731,A,56,x
732,A,1232,x
733,C,317,x
734,D,1386,x
735,B,885,x
736,B,1099,x
737,D,1160,x
738,A,1808,x
739,B,1042,x
740,B,650,x
741,C,1428,x
742,C,2,x
743,A,651,x
744,A,1420,x
745,B,996,x
746,B,1898,x
747,C,911,x
748,C,394,x
749,B,1804,x
750,B,594,x
751,A,640,x
752,C,1195,x
753,D,456,x
754,C,1094,x
755,C,1143,x
756,B,791,x
757,D,1394,x
758,A,1911,x
759,B,985,x
760,A,186,x
761,C,1847,x
762,C,1074,x
763,D,107,x
764,D,1579,x
765,B,89,x
766,D,292,x
767,D,358,x
768,C,261,x
769,B,169,x
770,A,554,x
771,B,586,x
772,D,448,x
773,B,1118,x
774,A,694,x
775,C,532,x
776,B,1102,x
777,C,1927,x
778,D,742,x
779,B,1943,x
780,B,142,x
781,C,371,x
782,D,964,x
783,C,1788,x
784,C,1521,x
785,A,182,x
786,A,1520,x
787,C,420,x
788,A,1740,x
789,A,104,x
790,C,292,x
791,A,1769,x
792,D,1465,x
793,A,735,x
794,B,953,x
795,B,1,x
796,A,1384,x
797,C,233,x
798,A,95,x
799,B,264,x
800,B,640,x
801,B,697,x
802,C,1671,x
803,A,585,x
804,A,1143,x
805,A,1999,x
806,B,1901,x
807,B,1405,x
808,D,1910,x
809,B,1089,x
810,B,862,x
811,C,1128,x
812,B,994,x
813,D,1442,x
814,C,112,x
815,A,695,x
816,C,16,x
817,A,1457,x
818,D,268,x
819,A,660,x
820,C,1434,x
821,A,712,x
822,D,125,x
823,B,384,x
824,A,1322,x
825,B,1951,x
826,C,1364,x
827,C,1506,x
828,A,1862,x
829,B,439,x
830,B,683,x
831,B,1614,x
832,C,220,x
833,B,164,x
834,A,1401,x
835,D,473,x
836,A,1840,x
837,D,1320,x
838,C,1118,x
839,D,766,x
840,A,1728,x
841,C,448,x
842,C,235,x
843,C,1573,x
844,D,23,x
845,B,1734,x
846,B,1685,x
847,D,472,x
848,A,876,x
849,C,1516,x
850,D,769,x
851,B,1212,x
852,C,803,x
853,B,1852,x
854,B,1366,x
855,B,376,x
856,B,402,x
857,D,1368,x
858,D,902,x
859,A,1174,x
860,D,1656,x
861,C,1492,x
862,C,111,x
863,A,1410,x
864,B,1441,x
865,A,1271,x
866,D,55,x
867,D,918,x
868,B,153,x
869,C,213,x
870,B,613,x
871,B,1712,x
872,C,1330,x
873,A,1480,x
874,A,899,x
875,D,1855,x
876,B,954,x
877,B,1845,x
878,B,542,x
879,D,1641,x
880,C,239,x
881,D,543,x
882,B,1000,x
883,C,355,x
884,D,476,x
885,D,887,x
886,D,913,x
887,B,1620,x
888,A,1759,x
889,D,577,x
890,A,497,x
891,A,1709,x
892,D,649,x
893,C,1702,x
894,C,1697,x
895,B,1048,x
896,B,1884,x
897,B,1389,x
898,B,1593,x
899,D,303,x
900,D,1579,x
901,A,1697,x
902,A,1046,x
903,C,900,x
904,D,1504,x
905,B,1818,x
906,B,1508,x
907,D,705,x
908,A,1889,x
909,A,969,x
910,D,106,x
911,C,452,x
912,C,771,x
913,D,345,x
914,B,1012,x
915,D,69,x
916,D,279,x
917,C,245,x
918,D,731,x
919,C,1201,x
920,A,690,x
921,A,1521,x
922,C,1897,x
923,B,178,x
924,B,1932,x
925,B,543,x
926,B,1983,x
927,B,1044,x
928,A,1695,x
929,A,1908,x
930,B,1769,x
931,A,1087,x
932,B,1138,x
933,A,481,x
934,B,213,x
935,A,657,x
936,C,490,x
937,D,1073,x
938,A,1411,x
939,C,1373,x
940,A,971,x
941,B,336,x
942,D,1470,x
943,A,838,x
944,A,1368,x
945,B,1406,x
946,B,582,x
947,C,577,x
948,A,1697,x
949,D,92,x
950,A,254,x
951,D,899,x
952,D,106,x
953,D,1247,x
954,B,158,x
955,D,966,x
956,A,1732,x
957,B,1473,x
958,A,1721,x
959,B,695,x
960,B,1419,x
961,C,535,x
962,C,1731,x
963,B,512,x
964,C,463,x
965,D,993,x
966,A,1189,x
967,A,816,x
968,C,1493,x
969,C,275,x
970,C,1545,x
971,B,106,x
972,B,146,x
973,A,359,x
974,B,1064,x
975,D,1105,x
976,D,983,x
977,A,465,x
978,A,51,x
979,C,447,x
980,B,599,x
981,B,972,x
982,A,1538,x
983,D,1219,x
984,A,1874,x
985,A,594,x
986,A,1145,x
987,D,568,x
988,B,1114,x
989,B,1003,x
990,C,1565,x
991,A,1338,x
992,D,1036,x
993,D,1450,x
994,A,1845,x
995,C,1696,x
996,A,701,x
997,C,692,x
998,A,546,x
999,D,673,x
1000,D,1369,x
1001,D,1690,x
1002,D,1411,x
1003,A,812,x
1004,D,3,x
1005,D,1394,x
1006,C,983,x
1007,D,1933,x
1008,D,1231,x
1009,C,727,x
1010,D,1843,x
1011,D,996,x
1012,A,560,x
1013,B,1084,x
1014,D,1125,x
1015,D,1754,x
1016,C,245,x
1017,C,377,x
1018,B,1586,x
1019,A,1207,x
1020,D,261,x
1021,B,1660,x
1022,A,334,x
1023,A,1421,x
1024,A,235,x
1025,A,975,x
1026,B,298,x
1027,B,181,x
1028,A,193,x
1029,C,716,x
1030,C,1470,x
1031,A,1224,x
1032,B,1858,x
1033,A,1501,x
1034,A,1672,x
1035,A,1861,x
1036,D,709,x
1037,D,1553,x
1038,B,1942,x
1039,A,780,x
1040,B,1971,x
1041,D,306,x
1042,C,1653,x
1043,D,129,x
1044,B,1579,x
1045,A,951,x
1046,D,1319,x
1047,C,136,x
1048,A,1767,x
1049,B,472,x
1050,B,1462,x
1051,B,1382,x
1052,C,1229,x
1053,D,1158,x
1054,A,49,x
1055,B,641,x
1056,A,1358,x
1057,A,656,x
1058,A,749,x
1059,B,1049,x
1060,C,257,x
1061,C,1614,x
1062,B,608,x
1063,D,1347,x
1064,D,1638,x
1065,A,53,x
1066,D,1846,x
1067,A,546,x
1068,C,941,x
1069,B,158,x
1070,A,1111,x
1071,A,697,x
1072,A,1748,x
1073,D,1906,x
1074,C,1509,x
1075,A,276,x
1076,B,919,x
1077,B,1393,x
1078,D,1903,x
1079,C,134,x
1080,D,1507,x
1081,B,1971,x
1082,C,1365,x
1083,A,1271,x
1084,A,628,x
1085,C,258,x
1086,D,1922,x
1087,B,586,x
1088,A,1001,x
1089,D,1030,x
1090,A,196,x
1091,C,562,x
1092,A,1993,x
1093,C,342,x
1094,B,1025,x
1095,C,1204,x
1096,D,52,x
1097,C,624,x
1098,B,1486,x
1099,A,1504,x
1100,A,1039,x
1101,C,775,x
1102,A,1525,x
1103,D,1184,x
1104,C,1211,x
1105,C,30,x
1106,A,599,x
1107,A,798,x
1108,B,773,x
1109,D,297,x
1110,D,1373,x
1111,D,640,x
1112,D,827,x
1113,D,845,x
1114,D,989,x
1115,C,1645,x
1116,B,412,x
1117,B,1836,x
1118,A,723,x
1119,C,225,x
1120,B,1320,x
1121,A,1100,x
1122,A,516,x
1123,D,742,x
1124,B,44,x
1125,A,28,x
1126,B,853,x
1127,A,1352,x
1128,B,1238,x
1129,A,1005,x
1130,C,699,x
1131,A,994,x
1132,C,1578,x
1133,A,1549,x
1134,D,1317,x
1135,A,1528,x
1136,B,1134,x
1137,B,719,x
1138,B,1399,x
1139,D,1279,x
1140,D,1612,x
1141,D,344,x
1142,A,354,x
1143,D,1156,x
1144,D,617,x
1145,D,1339,x
1146,B,19,x
1147,D,1633,x
1148,C,1278,x
1149,B,898,x
1150,B,1305,x
1151,B,1777,x
1152,D,1940,x
1153,C,1074,x
1154,A,146,x
1155,A,631,x
1156,A,1117,x
1157,D,362,x
1158,A,1249,x
1159,A,1226,x
1160,D,144,x
1161,B,1268,x
1162,B,383,x
1163,D,157,x
1164,D,1790,x
1165,C,1802,x
1166,D,1680,x
1167,B,154,x
1168,C,1565,x
1169,B,1732,x
1170,C,176,x
1171,C,163,x
1172,C,1230,x
1173,C,583,x
1174,B,357,x
1175,B,667,x
1176,C,498,x
1177,B,446,x
1178,B,1244,x
1179,A,166,x
1180,B,1595,x
1181,D,1745,x
1182,B,202,x
1183,A,1851,x
1184,D,154,x
1185,A,1997,x
1186,C,1463,x
1187,C,1379,x
1188,A,468,x
1189,B,192,x
1190,C,1923,x
1191,B,486,x
1192,B,1910,x
1193,A,1167,x
1194,D,1601,x
1195,B,1038,x
1196,B,1116,x
1197,D,719,x
1198,C,1956,x
1199,B,1709,x
1200,D,500,x
1201,C,70,x
1202,B,1624,x
1203,B,788,x
1204,B,812,x
1205,D,956,x
1206,C,1993,x
1207,D,969,x
1208,A,1927,x
1209,A,1037,x
1210,B,1233,x
1211,B,809,x
1212,A,1236,x
1213,D,626,x
1214,A,57,x
1215,B,1722,x
1216,B,550,x
1217,D,847,x
1218,B,1980,x
1219,A,72,x
1220,D,758,x
1221,C,1644,x
1222,C,742,x
1223,A,93,x
1224,B,844,x
1225,C,1410,x
1226,C,787,x
1227,B,839,x
1228,D,218,x
1229,A,1335,x
1230,B,167,x
1231,D,1228,x
1232,A,18,x
1233,A,1369,x
1234,D,496,x
1235,C,1055,x
1236,C,749,x
1237,B,1142,x
1238,A,1830,x
1239,C,1131,x
1240,D,749,x
1241,C,760,x
1242,A,953,x
1243,A,29,x
1244,D,1721,x
1245,A,14,x
1246,D,1467,x
1247,A,1511,x
1248,A,362,x
1249,C,1957,x
1250,D,181,x
1251,C,1058,x
1252,B,1176,x
1253,B,1639,x
1254,C,353,x
1255,C,1634,x
1256,A,1556,x
1257,B,1969,x
1258,B,1203,x
1259,C,271,x
1260,B,187,x
1261,C,697,x
1262,C,1486,x
1263,D,531,x
1264,B,805,x
1265,C,1010,x
1266,B,605,x
1267,C,647,x
1268,A,1280,x
1269,A,1874,x
1270,A,80,x
1271,B,302,x
1272,B,1868,x
1273,D,1624,x
1274,A,1604,x
1275,A,557,x
1276,D,808,x
1277,B,1920,x
1278,A,377,x
1279,B,1668,x
1280,A,378,x
1281,D,1631,x
1282,B,1755,x
1283,D,140,x
1284,C,1838,x
1285,B,830,x
1286,D,1590,x
1287,D,1544,x
1288,A,1963,x
1289,D,1044,x
1290,C,1006,x
1291,C,1339,x
1292,B,581,x
1293,D,344,x
1294,B,910,x
1295,B,477,x
1296,C,1995,x
1297,C,1906,x
1298,B,1996,x
1299,A,1748,x
1300,C,115,x
1301,A,301,x
1302,B,684,x
1303,A,852,x
1304,A,911,x
1305,D,48,x
1306,B,350,x
1307,A,1756,x
1308,D,125,x
1309,A,395,x
1310,D,1936,x
1311,D,1625,x
1312,B,670,x
1313,C,1638,x
1314,A,1511,x
1315,D,302,x
1316,B,371,x
1317,A,1753,x
1318,D,1372,x
1319,B,753,x
1320,B,337,x
1321,D,71,x
1322,A,352,x
1323,A,835,x
1324,B,1621,x
1325,C,206,x
1326,B,150,x
1327,C,247,x
1328,A,959,x
1329,A,1120,x
1330,D,1131,x
1331,D,1092,x
1332,B,749,x
1333,A,1688,x
1334,C,1638,x
1335,A,470,x
1336,A,91,x
1337,A,441,x
1338,B,630,x
1339,C,1616,x
1340,C,1936,x
1341,D,1487,x
1342,A,1623,x
1343,D,245,x
1344,A,662,x
1345,C,1268,x
1346,D,1286,x
1347,C,779,x
1348,C,1036,x
1349,D,208,x
1350,A,730,x
1351,C,1625,x
1352,D,1761,x
1353,A,662,x
1354,A,751,x
1355,A,906,x
1356,C,620,x
1357,B,795,x
1358,B,386,x
1359,C,496,x
1360,B,957,x
1361,B,1973,x
1362,A,264,x
1363,A,70,x
1364,C,1562,x
1365,A,640,x
1366,D,2,x
1367,C,68,x
1368,C,208,x
1369,D,420,x
1370,B,1029,x
1371,B,1844,x
1372,A,1711,x
1373,A,1609,x
1374,B,766,x
1375,D,1368,x
1376,B,776,x
1377,C,1140,x
1378,C,1147,x
1379,A,1314,x
1380,B,970,x
1381,B,777,x
1382,A,912,x
1383,C,510,x
1384,D,1497,x
1385,D,220,x
1386,A,314,x
1387,A,350,x
1388,D,906,x
1389,B,668,x
1390,C,1408,x
1391,B,953,x
1392,A,1867,x
1393,B,632,x
1394,C,1367,x
1395,B,1170,x
1396,D,1471,x
1397,B,393,x
1398,B,1827,x
1399,B,291,x
1400,C,1823,x
1401,D,1819,x
1402,B,803,x
1403,B,344,x
1404,B,1952,x
1405,C,375,x
1406,B,473,x
1407,D,757,x
1408,A,1429,x
1409,B,1714,x
1410,D,1150,x
1411,A,1430,x
1412,B,52,x
1413,B,13,x
1414,B,1608,x
1415,B,786,x
1416,B,1609,x
1417,D,1690,x
1418,B,1249,x
1419,C,1753,x
1420,D,1428,x
1421,D,1831,x
1422,A,1536,x
1423,C,961,x
1424,D,1084,x
1425,D,712,x
1426,C,1889,x
1427,D,144,x
1428,B,1703,x
1429,C,1517,x
1430,C,1752,x
1431,B,110,x
1432,A,1062,x
1433,C,833,x
1434,C,688,x
1435,B,659,x
1436,D,305,x
1437,C,1252,x
1438,C,1816,x
1439,C,506,x
1440,D,907,x
1441,C,412,x
1442,C,1420,x
1443,A,190,x
1444,B,1410,x
1445,B,1648,x
1446,C,590,x
1447,A,1262,x
1448,C,1224,x
1449,A,894,x
1450,D,300,x
1451,D,81,x
1452,C,106,x
1453,B,1939,x
1454,C,549,x
1455,A,1230,x
1456,D,1747,x
1457,C,1084,x
1458,C,740,x
1459,D,1959,x
1460,A,34,x
1461,D,1281,x
1462,D,1208,x
1463,C,163,x
1464,A,240,x
1465,A,1944,x
1466,A,658,x
1467,D,1826,x
1468,B,1629,x
1469,D,1421,x
1470,D,1960,x
1471,C,1107,x
1472,B,1819,x
1473,B,1304,x
1474,B,981,x
1475,A,1874,x
1476,C,556,x
1477,A,1832,x
1478,D,1141,x
1479,D,836,x
1480,D,1575,x
1481,D,447,x
1482,A,1377,x
1483,C,1489,x
1484,B,1380,x
1485,B,1700,x
1486,C,864,x
1487,A,1372,x
1488,B,1748,x
1489,D,1641,x
1490,B,1882,x
1491,C,1803,x
1492,D,1981,x
1493,D,337,x
1494,C,1808,x
1495,D,1935,x
1496,D,740,x
1497,B,1592,x
1498,B,1344,x
1499,B,1116,x
1500,A,1207,x
1501,B,1860,x
1502,B,782,x
1503,A,901,x
1504,A,56,x
1505,A,574,x
1506,D,31,x
1507,C,195,x
1508,B,55,x
1509,C,957,x
1510,C,1911,x
1511,C,1847,x
1512,B,181,x
1513,A,249,x
1514,B,340,x
1515,A,12,x
1516,C,264,x
1517,D,876,x
1518,D,1998,x
1519,D,11,x
1520,D,1418,x
1521,B,1605,x
1522,B,492,x
1523,C,1123,x
1524,A,1424,x
1525,A,1564,x
1526,D,1513,x
1527,D,1232,x
1528,A,1038,x
1529,C,515,x
1530,A,91,x
1531,A,281,x
1532,A,296,x
1533,D,1886,x
1534,C,1547,x
1535,B,1648,x
1536,B,1526,x
1537,A,1157,x
1538,D,262,x
1539,B,1667,x
1540,C,963,x
1541,B,1049,x
1542,B,1642,x
1543,B,1028,x
1544,B,670,x
1545,C,799,x
1546,C,91,x
1547,A,954,x
1548,C,1531,x
1549,D,1501,x
1550,A,1179,x
1551,B,1613,x
1552,A,1931,x
1553,D,23,x
1554,D,720,x
1555,A,1585,x
1556,D,1779,x
1557,B,18,x
1558,C,833,x
1559,B,1792,x
1560,A,1136,x
1561,A,1301,x
1562,C,40,x
1563,C,1930,x
1564,B,1914,x
1565,D,321,x
1566,B,1735,x
1567,D,455,x
1568,A,900,x
1569,C,1769,x
1570,D,1771,x
1571,A,1901,x
1572,C,609,x
1573,B,1278,x
1574,A,1264,x
1575,B,1241,x
1576,D,14,x
